regime,parameter,P,lower_states,upper_states,gap
known_D,4,1,3,6,3
known_D,4,2,3,4,1
known_D,4,4,3,3,0
known_D,4,8,3,3,0
known_D,4,16,3,3,0
known_D,4,32,3,3,0
known_D,8,1,5,10,5
known_D,8,2,3,6,3
known_D,8,4,3,4,1
known_D,8,8,3,3,0
known_D,8,16,3,3,0
known_D,8,32,3,3,0
known_D,16,1,9,18,9
known_D,16,2,5,10,5
known_D,16,4,3,6,3
known_D,16,8,3,4,1
known_D,16,16,3,3,0
known_D,16,32,3,3,0
known_D,32,1,17,34,17
known_D,32,2,9,18,9
known_D,32,4,5,10,5
known_D,32,8,3,6,3
known_D,32,16,3,4,1
known_D,32,32,3,3,0
known_n,8,1,3,9,6
known_n,8,2,3,6,3
known_n,8,4,3,4,1
known_n,8,8,3,3,0
known_n,8,16,3,3,0
known_n,8,32,3,3,0
known_n,16,1,5,17,12
known_n,16,2,3,10,7
known_n,16,4,3,6,3
known_n,16,8,3,4,1
known_n,16,16,3,3,0
known_n,16,32,3,3,0
known_n,32,1,9,33,24
known_n,32,2,5,18,13
known_n,32,4,3,10,7
known_n,32,8,3,6,3
known_n,32,16,3,4,1
known_n,32,32,3,3,0
